"HYBAS_ID","SR_exotic","Occ_exotic","SR_all","Occ_all","Occsqrtd","SR_rrfy","Occ_rrfy","NEXT_DOWN","SUB_AREA","Temperature","Elevation","Discharge","Ports","Locks","Ships_Avg","Ships_Max","Canal_Length","Canal_Binary"
2070444190,0,0,2,3,1.73205080756888,0,0,2070447830,2908.2,59.7841726618705,692.496402877698,4.64545323741007,0,0,0,0,0,"0"
2070444020,NA,NA,NA,NA,NA,NA,NA,2070447830,5929.6,73.7948717948718,356.813186813187,3.66189743589744,0,0,0,0,0,"0"
2070008360,0,0,5,5,2.23606797749979,0,0,0,3048.3,106.19014084507,45.8732394366197,0.265091549295775,0,0,0,0,0,"0"
2070008440,NA,NA,NA,NA,NA,NA,NA,0,5387.6,101.079812206573,101.544600938967,1.14743661971831,0,0,0,0,0,"0"
2070008450,0,0,25,50,7.07106781186548,0,0,0,1240.3,109.69387755102,27.2448979591837,0.155775510204082,1,0,27357.4166666667,27357.4166666667,0,"0"
2070008490,2,6,15,44,6.6332495807108,0.301511344577764,0.904534033733291,0,966.4,112.838709677419,0.645161290322581,1741.64303225806,1,0,8233.6,27357.4166666667,20.8104101187294,"1"
2070542170,NA,NA,NA,NA,NA,NA,NA,2070008490,3278.3,106.627586206897,57.7655172413793,0.460668965517241,0,0,0,0,0,"0"
2070542410,0,0,1,1,1,0,0,2070008490,342.9,110.692307692308,11.3076923076923,3119.43592307692,1,0,41296.9444444444,91323.75,2.72516747306907,"1"
2070544450,NA,NA,NA,NA,NA,NA,NA,2070542410,563.7,110.481481481481,33.962962962963,1751.00359259259,0,0,35829.6979166667,91323.75,0,"0"
2070544300,NA,NA,NA,NA,NA,NA,NA,2070542410,4261.6,102.403225806452,101.849462365591,1.13729032258065,0,0,0,0,0,"0"
2070544880,NA,NA,NA,NA,NA,NA,NA,2070544450,563.9,109,47.0571428571429,1159.23568571429,1,0,43926.1666666667,53295.3333333333,0,"0"
2070544810,NA,NA,NA,NA,NA,NA,NA,2070544450,957.6,105.780487804878,82.3414634146341,0.450341463414634,0,0,0,0,0,"0"
2070541660,NA,NA,NA,NA,NA,NA,NA,2070544880,6892.9,100.388535031847,99.0063694267516,62.284050955414,1,0,53295.3333333333,53295.3333333333,0,"0"
2070541720,NA,NA,NA,NA,NA,NA,NA,2070544880,307.3,111.230769230769,12,2010.66746153846,1,0,53295.3333333333,53295.3333333333,0,"0"
2070543090,NA,NA,NA,NA,NA,NA,NA,2070541720,2002.8,108.52808988764,47.1910112359551,27.2902921348315,0,0,53295.3333333333,53295.3333333333,0,"0"
