"datasetkey","confidence_level","title","text","access","taxa"
"6cbf7d4d-13cb-4604-8668-db68fe753349",1,"Données d'occurrences issues des Formulaires standards de données des sites Natura 2000 - Données d'occurrence Espèces issues de la base Natura 2000 : espèces d'intérêt communautaire et autres espèces remarquables renseignées dans les FSD","Inventaire National du Patrimoine Naturel (2018). Données d'occurrences issues des Formulaires standards de données des sites Natura 2000 - Données d'occurrence Espèces issues de la base Natura 2000 : espèces d'intérêt communautaire et autres espèces remarquables renseignées dans les FSD. UMS PatriNat (OFB-CNRS-MNHN), Paris. Occurrence dataset https://doi.org/10.15468/g2ptuw accessed via GBIF.org on 2023-05-24.","Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2023-05-24","fish"
"274a36be-0626-41c1-a757-3064e05811a4",1,"VIS - Fishes in estuarine waters in Flanders, Belgium","Breine J, Verreycken H, De Boeck T, Brosens D, Desmet P (2021). VIS - Fishes in estuarine waters in Flanders, Belgium. Version 9.7. Research Institute for Nature and Forest (INBO). Occurrence dataset https://doi.org/10.15468/estwpt accessed via GBIF.org on 2023-05-24.","Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2023-05-24","fish"
"ba1bf66f-863b-46c7-bdce-ec5853c16c55",1,"Monitoring of fishes and crustaceans by Province East Flanders in Flanders, Belgium","Mahieu F, Boets P, Zoeter Vanpoucke M, Reyserhove L, Oldoni D (2023). Monitoring of fishes and crustaceans by Province East Flanders in Flanders, Belgium. Version 1.28. Province East Flanders. Sampling event dataset https://doi.org/10.15468/ap9ejd accessed via GBIF.org on 2023-05-24.","Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2023-05-24","fish"
"1c124078-9b39-4042-84af-b2f948dad993",1,"Données piscicoles et astacicoles des cours d'eau de France métropolitaine bancarisées dans ASPE (OFB) - Données acquises selon le protocole de pêche par ambiance - ASPE - OFB","Inventaire National du Patrimoine Naturel (2021). Données piscicoles et astacicoles des cours d'eau de France métropolitaine bancarisées dans ASPE (OFB) - Données acquises selon le protocole de pêche par ambiance - ASPE - OFB. UMS PatriNat (OFB-CNRS-MNHN), Paris. Occurrence dataset https://doi.org/10.15468/qbgjt5 accessed via GBIF.org on 2023-05-24.","Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2023-05-24","fish"
"dd915a74-f2d2-4888-a62d-4a5ebeae4e0e",1,"2017_CEN PACA_1","Inventaire National du Patrimoine Naturel (2023). 2017_CEN PACA_1. UMS PatriNat (OFB-CNRS-MNHN), Paris. Occurrence dataset https://doi.org/10.15468/7xjng3 accessed via GBIF.org on 2023-05-24.","Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2023-05-24","fish"
"752a8459-f10a-4133-aa21-4f55f8a27b73",1,"Convention - Fondation d'Entreprise du Golf de Vidauban pour l'Environnement - Jeu de données convention FEGVE-SPN-2012-2016","Inventaire National du Patrimoine Naturel (2022). Convention - Fondation d'Entreprise du Golf de Vidauban pour l'Environnement - Jeu de données convention FEGVE-SPN-2012-2016. Version 1.1. UMS PatriNat (OFB-CNRS-MNHN), Paris. Occurrence dataset https://doi.org/10.15468/q8kpdf accessed via GBIF.org on 2023-05-24.","Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2023-05-24","fish"
"88967ea9-19ea-4f4d-b137-879ee00ebda8",2,"CardObs : Observations naturalistes issues de l'outil CardObs - Données naturalistes de CERCOPE (Jean-Louis PRATZ)","Inventaire National du Patrimoine Naturel (2016). CardObs : Observations naturalistes issues de l'outil CardObs - Données naturalistes de CERCOPE (Jean-Louis PRATZ). UMS PatriNat (OFB-CNRS-MNHN), Paris. Occurrence dataset https://doi.org/10.15468/ba63zj accessed via GBIF.org on 2023-05-24.","Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2023-05-24","fish"
"594e1181-c38a-4f44-b78c-ceab50351cca",1,"National Trust Species Records","National Trust (2022). National Trust Species Records. Occurrence dataset https://doi.org/10.15468/opc6g1 accessed via GBIF.org on 2023-05-24.","Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2023-05-24","fish"
"fbf2c8a9-1f63-4a48-a85e-96e5641f3cc8",1,"Données piscicoles et astacicoles des cours d'eau de France métropolitaine bancarisées dans ASPE (OFB) - Données piscicoles acquises selon le protocole de pêche partielle sur berges - ASPE - OFB","Inventaire National du Patrimoine Naturel (2022). Données piscicoles et astacicoles des cours d'eau de France métropolitaine bancarisées dans ASPE (OFB) - Données piscicoles acquises selon le protocole de pêche partielle sur berges - ASPE - OFB. UMS PatriNat (OFB-CNRS-MNHN), Paris. Occurrence dataset https://doi.org/10.15468/ndx7os accessed via GBIF.org on 2023-05-24.","Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2023-05-24","fish"
"dceb7843-b7e7-4dc7-b50e-b978e52e27dc",1,"Réserves Naturelles de France (RNF) - RNF - Conservatoire d'espaces naturel Nord-Pas-de-Calais","Inventaire National du Patrimoine Naturel (2017). Réserves Naturelles de France (RNF) - RNF - Conservatoire d'espaces naturel Nord-Pas-de-Calais. UMS PatriNat (OFB-CNRS-MNHN), Paris. Occurrence dataset https://doi.org/10.15468/rzxepa accessed via GBIF.org on 2023-05-24.","Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2023-05-24","fish"
"5f501df0-0c61-11dd-84ce-b8a03c50a862",1,"SLU Aqua Institute of Freshwater Research National register of survey test-fishing - NORS","Kinnerbäck A (2023). SLU Aqua Institute of Freshwater Research National register of survey test-fishing - NORS. Department of Aquatic resources, SLU. Occurrence dataset https://doi.org/10.15468/9meff0 accessed via GBIF.org on 2023-05-24.","Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2023-05-24","fish"
"6bcfbc19-4a2a-496f-ae62-5dcb36e335fb",2,"CardObs : Observations naturalistes issues de l'outil CardObs - Données naturalistes de Pierre NOEL (pnoel)","Inventaire National du Patrimoine Naturel (2016). CardObs : Observations naturalistes issues de l'outil CardObs - Données naturalistes de Pierre NOEL (pnoel). UMS PatriNat (OFB-CNRS-MNHN), Paris. Occurrence dataset https://doi.org/10.15468/ziwt1p accessed via GBIF.org on 2023-05-24.","Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2023-05-24","fish"
"b7cd5ad0-f65a-4de1-a1bb-318cf5ae12f8",2,"LERN Records","Lancashire Environment Record Network (2022). LERN Records. Occurrence dataset https://doi.org/10.15468/esxc9a accessed via GBIF.org on 2023-05-24.","Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2023-05-24","fish"
